m_dot_kg_s,q_lin_W_m,T_w_max_K,T_c_out_K,DeltaP_total_MPa
1.0,60000.0,654.9474524480647,633.638288881248,0.26070519506117834
1.0,150000.0,787.1174975235808,739.7182452843074,0.23178677568390085
1.0,250000.0,931.039221086428,852.0903375917933,0.22554954304243174
1.0,350000.0,1069.916387058398,959.3282286607949,0.22432689537162118
1.5,60000.0,626.8426021508511,609.3635554132474,0.5533724281875371
1.5,150000.0,715.6321971108869,681.336098290398,0.4898106038961359
1.5,250000.0,815.7781254685153,758.6755702838932,0.4663719032719373
1.5,350000.0,913.3626559442332,833.4515084860245,0.4586805600738508
2.0,60000.0,611.9540342518144,597.13008051116,0.9364789359092701
2.0,150000.0,679.2335596649912,651.5970672182709,0.8438031284089538
2.0,250000.0,755.9704839418956,710.5826593401318,0.7882603071045637
2.0,350000.0,831.5332085381731,768.0305679436932,0.7677408220027601
2.5,60000.0,602.6661998697571,589.7574848395133,1.4034368604609762
2.5,150000.0,658.9291774943781,633.5747238064814,1.286988989033341
2.5,250000.0,719.2339977490051,681.2497762455247,1.1921720620306429
2.5,350000.0,781.0460219625973,727.9043065003065,1.1508749417559958
3.0,60000.0,596.2933858636669,584.828363572688,1.9495268051892796
3.0,150000.0,644.8251740762961,621.4839959655426,1.8098616855579481
3.0,250000.0,694.3272655202193,661.4868317477576,1.6799902516971812
3.0,350000.0,746.7138181147471,700.7679980273999,1.6084831756826903
